variant,target_phi,threshold_norm,phi_real,phi_gen,S2_rmse,Euler_real,Euler_gen,maxCC_real,maxCC_gen
orig,5.0,-0.9863765835762024,6.405,5.0,0.00287,127.33,114.37,0.0597,0.0824
orig,5.5,-0.9827410578727722,6.405,5.5,0.00175,127.33,113.26,0.0597,0.0832
orig,6.0,-0.9786539673805237,6.405,6.0,0.00083,127.33,111.86,0.0597,0.0857
orig,6.4,-0.97492915391922,6.405,6.4,0.00105,127.33,111.0,0.0597,0.088
orig,7.0,-0.9685007333755493,6.405,7.0,0.00249,127.33,110.38,0.0597,0.0902
orig,7.5,-0.9622365236282349,6.405,7.5,0.0039,127.33,110.73,0.0597,0.0897
orig,8.0,-0.9552692174911499,6.405,8.0,0.00542,127.33,111.43,0.0597,0.0896
affine,5.0,-0.624221682548523,6.405,5.0,0.00287,127.33,114.37,0.0597,0.0824
affine,5.5,-0.6207773685455322,6.405,5.5,0.00175,127.33,113.26,0.0597,0.0832
affine,6.0,-0.6169052124023438,6.405,6.0,0.00083,127.33,111.86,0.0597,0.0857
affine,6.4,-0.6133763194084167,6.405,6.4,0.00105,127.33,111.0,0.0597,0.088
affine,7.0,-0.6072859764099121,6.405,7.0,0.00249,127.33,110.38,0.0597,0.0902
affine,7.5,-0.6013512015342712,6.405,7.5,0.0039,127.33,110.73,0.0597,0.0897
affine,8.0,-0.5947503447532654,6.405,8.0,0.00542,127.33,111.43,0.0597,0.0896
qmatch,5.0,-0.6625000238418579,6.405,5.178,0.00247,127.33,114.0,0.0597,0.0824
qmatch,5.5,-0.6499999761581421,6.405,5.569,0.0016,127.33,113.11,0.0597,0.0833
qmatch,6.0,-0.625,6.405,6.302,0.00089,127.33,111.26,0.0597,0.0877
qmatch,6.4,-0.612500011920929,6.405,6.742,0.00181,127.33,110.41,0.0597,0.0899
qmatch,7.0,-0.6000000238418579,6.405,7.181,0.00299,127.33,110.49,0.0597,0.0895
qmatch,7.5,-0.5874999761581421,6.405,7.621,0.00426,127.33,110.9,0.0597,0.0899
qmatch,8.0,-0.574999988079071,6.405,8.109,0.00576,127.33,111.63,0.0597,0.09
